image_id,image_path,source_dataset,original_label,llm_score_band,llm_representative_score,llm_coarse_class,llm_reasoning,human_score_band,human_representative_score,human_coarse_class,final_score_band,final_representative_score,final_coarse_class,review_status,disagreement_flag,review_notes,split
real_redf0xwin_0030,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0030.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:11;dirt:4;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0031,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0031.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0032,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0032.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0033,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0033.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0034,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0034.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0035,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0035.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0036,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0036.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0037,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0037.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0038,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0038.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:31,,,,,,,,,,,pending,,,
real_redf0xwin_0039,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0039.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:4;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0040,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0040.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0041,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0041.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:3,,,,,,,,,,,pending,,,
real_redf0xwin_0042,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0042.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:3;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0043,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0043.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0044,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0044.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:5,,,,,,,,,,,pending,,,
real_redf0xwin_0045,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0045.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:1,,,,,,,,,,,pending,,,
real_redf0xwin_0046,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0046.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:3;hole:3,,,,,,,,,,,pending,,,
real_redf0xwin_0047,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0047.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0048,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0048.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dirt:6;hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0049,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0049.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:23;dirt:9;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0050,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0050.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0051,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0051.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0052,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0052.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0053,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0053.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0054,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0054.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0055,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0055.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0056,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0056.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0057,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0057.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:16,,,,,,,,,,,pending,,,
real_redf0xwin_0058,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0058.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:4;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0059,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0059.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:9;hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0060,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0060.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:1;hole:3,,,,,,,,,,,pending,,,
real_redf0xwin_0061,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0061.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0062,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0062.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:4,,,,,,,,,,,pending,,,
real_redf0xwin_0063,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0063.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:8;hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0064,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0064.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:5,,,,,,,,,,,pending,,,
real_redf0xwin_0065,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0065.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0066,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0066.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:18;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0067,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0067.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0068,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0068.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:8;hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0069,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0069.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:6,,,,,,,,,,,pending,,,
real_redf0xwin_0070,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0070.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0071,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0071.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0072,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0072.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0073,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0073.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0074,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0074.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:9,,,,,,,,,,,pending,,,
real_redf0xwin_0075,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0075.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0076,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0076.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:8;hole:3,,,,,,,,,,,pending,,,
real_redf0xwin_0077,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0077.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:2,,,,,,,,,,,pending,,,
real_redf0xwin_0078,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0078.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:1,,,,,,,,,,,pending,,,
real_redf0xwin_0079,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0079.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:3,,,,,,,,,,,pending,,,
real_redf0xwin_0080,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0080.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0081,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0081.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:9,,,,,,,,,,,pending,,,
real_redf0xwin_0082,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0082.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:6,,,,,,,,,,,pending,,,
real_redf0xwin_0083,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0083.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:6,,,,,,,,,,,pending,,,
real_redf0xwin_0084,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0084.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:4,,,,,,,,,,,pending,,,
real_redf0xwin_0085,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0085.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:14,,,,,,,,,,,pending,,,
real_redf0xwin_0086,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0086.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:10;hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0087,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0087.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:7;hole:4,,,,,,,,,,,pending,,,
real_redf0xwin_0088,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0088.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:5;hole:3,,,,,,,,,,,pending,,,
real_redf0xwin_0089,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0089.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:7;hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0090,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0090.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,,,,,,,,,,,,pending,,,
real_redf0xwin_0091,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0091.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:1,,,,,,,,,,,pending,,,
real_redf0xwin_0092,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0092.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:1,,,,,,,,,,,pending,,,
real_redf0xwin_0093,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0093.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:1,,,,,,,,,,,pending,,,
real_redf0xwin_0094,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0094.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:7;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0095,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0095.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:4,,,,,,,,,,,pending,,,
real_redf0xwin_0096,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0096.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:26,,,,,,,,,,,pending,,,
real_redf0xwin_0097,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0097.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:9,,,,,,,,,,,pending,,,
real_redf0xwin_0098,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0098.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:14;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0099,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0099.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:8;hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0100,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0100.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:9;dirt:4,,,,,,,,,,,pending,,,
real_redf0xwin_0101,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0101.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:6;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0102,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0102.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:17;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0103,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0103.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:6,,,,,,,,,,,pending,,,
real_redf0xwin_0104,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0104.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:7;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0105,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0105.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:4;hole:4,,,,,,,,,,,pending,,,
real_redf0xwin_0106,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0106.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:16,,,,,,,,,,,pending,,,
real_redf0xwin_0107,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0107.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:22;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0108,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0108.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:22;hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0109,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0109.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:18,,,,,,,,,,,pending,,,
real_redf0xwin_0110,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0110.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:22;hole:3,,,,,,,,,,,pending,,,
real_redf0xwin_0111,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0111.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:22;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0112,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0112.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:11;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0113,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0113.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:6;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0114,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0114.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:17,,,,,,,,,,,pending,,,
real_redf0xwin_0115,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0115.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:34,,,,,,,,,,,pending,,,
real_redf0xwin_0116,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0116.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:13;hole:1,,,,,,,,,,,pending,,,
real_redf0xwin_0117,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0117.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:13;hole:9,,,,,,,,,,,pending,,,
real_redf0xwin_0118,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0118.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:10,,,,,,,,,,,pending,,,
real_redf0xwin_0119,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0119.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:2,,,,,,,,,,,pending,,,
real_redf0xwin_0120,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0120.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:5,,,,,,,,,,,pending,,,
real_redf0xwin_0121,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0121.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:13,,,,,,,,,,,pending,,,
real_redf0xwin_0122,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0122.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:22;hole:2,,,,,,,,,,,pending,,,
real_redf0xwin_0123,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0123.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:17,,,,,,,,,,,pending,,,
real_redf0xwin_0124,data/real/source/redf0xwin_recognizing_defects_in_boxes_and_cardboard/images/0124.jpg,kaggle:redf0xwin/recognizing-defects-in-boxes-and-cardboard,dent:6;hole:4,,,,,,,,,,,pending,,,
