prompt_id,prompt_uid,image_path,prompt_status,image_status,qc_status,intended_score_band,intended_coarse_class,intended_representative_score,reviewed_score_band,reviewed_coarse_class,final_score_band,final_coarse_class,training_score_band,training_coarse_class,training_representative_score,training_label_source,prompt_title,prompt_model,band_spec_file,qc_notes,damage_profile_primary,damage_profile_secondary,damage_location_primary,box_form_factor,box_pattern,label_presence,tape_profile,background_context,camera_angle,lighting_style
12,prompt_581fc8c1b7f4459d,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_58a391458049467d.png,approved,generated,unreviewed,21-30,minor,25,,,,,21-30,minor,25,intended_unreviewed,Creased corner with mild opposite wear,gpt-5.4-mini,21-30-minor-mid.md,,clear_corner_crease,secondary_corner_softening,front_bottom_left_corner,medium_standard,recycled_patchwork_cardboard,multiple_small_stickers,cross_tape,outdoor_doorstep,front_eye_level,soft_even
13,prompt_8e30446e69c04717,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_0ac3af1b04c345b4.png,approved,generated,accepted_as_labeled,21-30,minor,25,21-30,minor,21-30,minor,21-30,minor,25,intended_reviewed_match,Side-panel dent with short crease,gpt-5.4-mini,21-30-minor-mid.md,Localized side dent and short crease fit minor-mid.,face_dent_with_crease,secondary_corner_softening,right_side_panel,tall_rectangular,shipping_label_patch,multiple_small_stickers,reinforced_edge_tape,plain_studio_floor,front_eye_level,cool_fluorescent
14,prompt_6d8bf8c72b1541d0,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_ab10224dd32e4cc7.png,approved,generated,unreviewed,21-30,minor,25,,,,,21-30,minor,25,intended_unreviewed,Creased corner in dim van cargo space,gpt-5.4-mini,21-30-minor-mid.md,,clear_corner_crease,light_crease_cluster,front_bottom_left_corner,small_cube,tape_heavy_plain,no_visible_label,cross_tape,van_cargo_area,three_quarter_right,dim_ambient
15,prompt_807eb70090a84935,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_2f0d7e23ddcd46b2.png,approved,generated,unreviewed,21-30,minor,25,,,,,21-30,minor,25,intended_unreviewed,Frayed corner with light crease support,gpt-5.4-mini,21-30-minor-mid.md,,small_corner_fray,light_crease_cluster,front_bottom_right_corner,flat_mailer_box,recycled_patchwork_cardboard,small_shipping_label,old_peeling_tape,packing_station,three_quarter_left,cool_fluorescent
16,prompt_b7804470a264446d,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_91d9afba9da44e3d.png,approved,generated,unreviewed,31-35,minor,33,,,,,31-35,minor,33,intended_unreviewed,Bent Right Edge on Warehouse Floor,gpt-5.4-mini,31-35-minor-high.md,,bent_flap_or_edge,minor_tape_peel,right_side_panel,long_rectangular,subtle_printed_markings,no_visible_label,cross_tape,warehouse_floor,low_angle_front,backlit_but_readable
17,prompt_020430f8a0684c5b,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_6cf862d3ceb4421e.png,approved,generated,unreviewed,31-35,minor,33,,,,,31-35,minor,33,intended_unreviewed,Centered Dent on Flat Mailer,gpt-5.4-mini,31-35-minor-high.md,,pronounced_face_dent,light_crease_cluster,front_face_center,flat_mailer_box,plain_brown,small_shipping_label,reinforced_edge_tape,warehouse_floor,front_eye_level,dim_ambient
18,prompt_793494e487b64ec3,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_5c46c3531ebe45ab.png,approved,generated,accepted_as_labeled,31-35,minor,33,31-35,minor,31-35,minor,31-35,minor,33,intended_reviewed_match,Top-Left Corner Bend with Small Stain,gpt-5.4-mini,31-35-minor-high.md,Bent top-left edge with small supporting damage fits high-minor.,bent_flap_or_edge,small_stain_patch,front_top_left_corner,long_rectangular,shipping_label_patch,no_visible_label,cross_tape,delivery_sorting_table,front_eye_level,soft_even
19,prompt_92b072cc98564a92,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_d9d9444cd37149fa.png,approved,generated,unreviewed,31-35,minor,33,,,,,31-35,minor,33,intended_unreviewed,Front Center Dent on Small Cube,gpt-5.4-mini,31-35-minor-high.md,,pronounced_face_dent,secondary_corner_softening,front_face_center,small_cube,subtle_printed_markings,barcode_label_only,minimal_tape,outdoor_doorstep,slightly_top_down,harsh_side_shadow
20,prompt_624ac4ce569840ee,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_60152c7e78194f37.png,approved,generated,unreviewed,31-35,minor,33,,,,,31-35,minor,33,intended_unreviewed,Left Side Partial Tear on Packing Station Box,gpt-5.4-mini,31-35-minor-high.md,,short_partial_tear,secondary_corner_softening,left_side_panel,flat_mailer_box,recycled_patchwork_cardboard,barcode_label_only,single_center_tape,packing_station,three_quarter_left,soft_even
21,prompt_39768378ceb14cea,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_ccc53182d5dc4832.png,approved,generated,unreviewed,36-45,moderate,40,,,,,36-45,moderate,40,intended_unreviewed,"Dim van cargo area, punctured corner",gpt-5.4-mini,36-45-moderate-low.md,,single_small_puncture_with_denting,none,front_top_right_corner,flat_mailer_box,plain_brown,no_visible_label,single_center_tape,van_cargo_area,slightly_top_down,dim_ambient
22,prompt_9b1f9169ff9143ee,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_e4b36aa7a0bf4ff2.png,approved,generated,accepted_as_labeled,36-45,moderate,40,36-45,moderate,36-45,moderate,36-45,moderate,40,intended_reviewed_match,Porch box with split edge and softened corner,gpt-5.4-mini,36-45-moderate-low.md,Localized edge split without cavity fits moderate-low.,edge_split_without_cavity,secondary_corner_softening,front_bottom_right_corner,medium_standard,recycled_patchwork_cardboard,no_visible_label,old_peeling_tape,outdoor_doorstep,three_quarter_right,soft_even
23,prompt_a5ebdb60632545f6,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_7459b58ec38f4d8e.png,approved,generated,unreviewed,36-45,moderate,40,,,,,36-45,moderate,40,intended_unreviewed,"Small cube box, side-panel split with dirt patch",gpt-5.4-mini,36-45-moderate-low.md,,edge_split_without_cavity,small_stain_patch,right_side_panel,small_cube,subtle_printed_markings,small_shipping_label,reinforced_edge_tape,outdoor_doorstep,three_quarter_left,backlit_but_readable
25,prompt_ce9db5bcb81a494e,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_11f22f47c1804cbd.png,approved,generated,unreviewed,36-45,moderate,40,,,,,36-45,moderate,40,intended_unreviewed,Studio floor box with frayed corner and face dent,gpt-5.4-mini,36-45-moderate-low.md,,frayed_corner_plus_face_dent,small_stain_patch,front_top_right_corner,medium_standard,tape_heavy_plain,barcode_label_only,single_center_tape,plain_studio_floor,slightly_top_down,mixed_indoor
26,prompt_3f5d694545e9443d,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_93b68dc3fdc64e76.png,approved,generated,unreviewed,46-55,moderate,50,,,,,46-55,moderate,50,intended_unreviewed,Compressed Right Side Mailer,gpt-5.4-mini,46-55-moderate-mid.md,,partial_side_compression,extra_small_puncture,right_side_panel,flat_mailer_box,shipping_label_patch,barcode_label_only,minimal_tape,plain_studio_floor,slightly_top_down,harsh_side_shadow
28,prompt_c3c85bb5861b4f8c,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_b62250497005489c.png,approved,generated,unreviewed,46-55,moderate,50,,,,,46-55,moderate,50,intended_unreviewed,Left Panel Dent With Tear,gpt-5.4-mini,46-55-moderate-mid.md,,face_dent_with_visible_tear,secondary_corner_softening,left_side_panel,tall_rectangular,plain_brown,barcode_label_only,reinforced_edge_tape,packing_station,three_quarter_left,dim_ambient
29,prompt_66c3354f73c94fe9,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_7208e59c792c4294.png,approved,generated,unreviewed,46-55,moderate,50,,,,,46-55,moderate,50,intended_unreviewed,Corner Edge Damage in Cargo Area,gpt-5.4-mini,46-55-moderate-mid.md,,multiple_damaged_edges,minor_tape_peel,front_bottom_left_corner,long_rectangular,plain_brown,multiple_small_stickers,old_peeling_tape,van_cargo_area,slightly_top_down,harsh_side_shadow
30,prompt_0aa755be9eea4b04,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_8ee201e077ac4c82.png,approved,generated,unreviewed,46-55,moderate,50,,,,,46-55,moderate,50,intended_unreviewed,Porch Box With Damaged Corner Edges,gpt-5.4-mini,46-55-moderate-mid.md,,multiple_damaged_edges,small_stain_patch,front_bottom_left_corner,long_rectangular,tape_heavy_plain,multiple_small_stickers,reinforced_edge_tape,outdoor_doorstep,three_quarter_right,mixed_indoor
32,prompt_5bb89b3c10584a20,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_d608d240706748dc.png,approved,generated,unreviewed,56-65,moderate,60,,,,,56-65,moderate,60,intended_unreviewed,Bottom-Left Corner Cavity on Warehouse Floor,gpt-5.4-mini,56-65-moderate-high.md,,small_cavity_with_deformation,secondary_face_dent,front_bottom_left_corner,medium_standard,subtle_printed_markings,no_visible_label,minimal_tape,warehouse_floor,slightly_top_down,cool_fluorescent
33,prompt_30764aa5a87a41b0,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_204b22d661674d9a.png,approved,generated,unreviewed,56-65,moderate,60,,,,,56-65,moderate,60,intended_unreviewed,Side Split with Grime on Studio Floor,gpt-5.4-mini,56-65-moderate-high.md,,narrow_opening_from_edge_split,broad_surface_grime,left_side_panel,flat_mailer_box,plain_brown,small_shipping_label,cross_tape,plain_studio_floor,three_quarter_left,harsh_side_shadow
37,prompt_12e3ed9648e94eb9,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_38262ecc6d9147ef.png,approved,generated,accepted_as_labeled,66-75,severe,70,66-75,severe,66-75,severe,66-75,severe,70,intended_reviewed_match,Large torn-open corner on mailer box,gpt-5.4-mini,66-75-severe-low.md,Large torn-open corner with exposed interior fits severe-low.,large_corner_opening,none,front_bottom_right_corner,flat_mailer_box,recycled_patchwork_cardboard,barcode_label_only,cross_tape,van_cargo_area,front_eye_level,soft_even
38,prompt_5df8e0d87f744fe0,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_c26e91b3d08a4c57.png,approved,generated,unreviewed,66-75,severe,70,,,,,66-75,severe,70,intended_unreviewed,Collapsed top-left corner on plain box,gpt-5.4-mini,66-75-severe-low.md,,collapsed_corner_cluster,none,front_top_left_corner,medium_standard,plain_brown,multiple_small_stickers,minimal_tape,plain_studio_floor,three_quarter_right,soft_even
39,prompt_0001e6a76a454691,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_858fa52035a14ab8.png,approved,generated,unreviewed,66-75,severe,70,,,,,66-75,severe,70,intended_unreviewed,Broad edge tear with grime at bottom-right corner,gpt-5.4-mini,66-75-severe-low.md,,broad_edge_tear,broad_surface_grime,front_bottom_right_corner,flat_mailer_box,tape_heavy_plain,no_visible_label,old_peeling_tape,packing_station,three_quarter_right,backlit_but_readable
40,prompt_07ac2904aca249c7,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_feb9ed3d15ca405a.png,approved,generated,unreviewed,66-75,severe,70,,,,,66-75,severe,70,intended_unreviewed,Long box side-panel tear on warehouse floor,gpt-5.4-mini,66-75-severe-low.md,,broad_edge_tear,extra_small_puncture,right_side_panel,long_rectangular,subtle_printed_markings,no_visible_label,reinforced_edge_tape,warehouse_floor,three_quarter_left,harsh_side_shadow
41,prompt_d151fab9216e4ab3,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_bbf4009a21594ed9.png,approved,generated,unreviewed,76-85,severe,80,,,,,76-85,severe,80,intended_unreviewed,Crushed Left Panel on Porch,gpt-5.4-mini,76-85-severe-mid.md,,major_side_collapse,additional_crushed_edge,left_side_panel,small_cube,tape_heavy_plain,barcode_label_only,cross_tape,outdoor_doorstep,three_quarter_right,harsh_side_shadow
42,prompt_b6bb0fbf848d4ddb,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_4df89db168b248ca.png,approved,generated,accepted_relabel,76-85,severe,80,66-75,severe,66-75,severe,66-75,severe,70,final_relabel,Broken Corner Long Box,gpt-5.4-mini,76-85-severe-mid.md,Good image but not severe-mid; damage reads closer to severe-low with one main collapsed corner.,multiple_collapsed_corners,additional_crushed_edge,front_bottom_left_corner,long_rectangular,subtle_printed_markings,small_shipping_label,single_center_tape,outdoor_doorstep,low_angle_front,dim_ambient
43,prompt_d6fb38238f7f401b,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_92bae6615b6f4ab5.png,approved,generated,unreviewed,76-85,severe,80,,,,,76-85,severe,80,intended_unreviewed,Dirty Collapsed Side Panel,gpt-5.4-mini,76-85-severe-mid.md,,major_side_collapse,broad_surface_grime,left_side_panel,medium_standard,plain_brown,barcode_label_only,single_center_tape,packing_station,slightly_top_down,dim_ambient
45,prompt_625825adc6ee4277,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_69585d5a8bc24800.png,approved,generated,unreviewed,76-85,severe,80,,,,,76-85,severe,80,intended_unreviewed,Crushed Right Side with Split Seams,gpt-5.4-mini,76-85-severe-mid.md,,heavy_crushing_with_split_seams,none,right_side_panel,small_cube,recycled_patchwork_cardboard,no_visible_label,old_peeling_tape,packing_station,three_quarter_right,harsh_side_shadow
46,prompt_8599c97a443f41e0,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_5ede6e9e2a8d4663.png,approved,generated,accepted_as_labeled,86-100,severe,93,86-100,severe,86-100,severe,86-100,severe,93,intended_reviewed_match,Severe tear at front top-left,gpt-5.4-mini,86-100-severe-high.md,Very large open tear with dominant interior exposure; valid severe-high example.,very_large_open_tear,broad_surface_grime,front_top_left_corner,small_cube,shipping_label_patch,barcode_label_only,single_center_tape,plain_studio_floor,three_quarter_right,dim_ambient
47,prompt_a4cd117b19824668,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_c79b0e7db11441e8.png,approved,generated,unreviewed,86-100,severe,93,,,,,86-100,severe,93,intended_unreviewed,Collapsed corner on long box,gpt-5.4-mini,86-100-severe-high.md,,extreme_collapse,none,front_bottom_right_corner,long_rectangular,tape_heavy_plain,multiple_small_stickers,single_center_tape,van_cargo_area,three_quarter_right,dim_ambient
48,prompt_bc763b8a36514cc7,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_6185b5b90b144521.png,approved,generated,unreviewed,86-100,severe,93,,,,,86-100,severe,93,intended_unreviewed,Multi-side failure on right panel,gpt-5.4-mini,86-100-severe-high.md,,severe_multi_side_failure,none,right_side_panel,tall_rectangular,subtle_printed_markings,no_visible_label,reinforced_edge_tape,plain_studio_floor,three_quarter_left,harsh_side_shadow
49,prompt_e6e26537a1a44756,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_8dbb4270a906420a.png,approved,generated,unreviewed,86-100,severe,93,,,,,86-100,severe,93,intended_unreviewed,Top flap edge collapse with grime,gpt-5.4-mini,86-100-severe-high.md,,extreme_collapse,broad_surface_grime,top_flap_edge,small_cube,subtle_printed_markings,barcode_label_only,minimal_tape,warehouse_floor,low_angle_front,backlit_but_readable
50,prompt_b150d3653b754f4a,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_0a5d6478b3c04840.png,approved,generated,unreviewed,86-100,severe,93,,,,,86-100,severe,93,intended_unreviewed,Corner failure on weathered medium box,gpt-5.4-mini,86-100-severe-high.md,,severe_multi_side_failure,none,front_top_left_corner,medium_standard,recycled_patchwork_cardboard,multiple_small_stickers,old_peeling_tape,outdoor_doorstep,low_angle_front,mixed_indoor
51,prompt_e7e5c1e862e24d63,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_d198d1b2e1f6415c.png,approved,generated,accepted_as_labeled,36-45,moderate,40,36-45,moderate,36-45,moderate,36-45,moderate,40,intended_reviewed_match,Low-Angle Punctured Side Panel,gpt-5.4-mini,36-45-moderate-low.md,Small puncture with localized denting is readable and contained.,single_small_puncture_with_denting,none,right_side_panel,long_rectangular,tape_heavy_plain,barcode_label_only,reinforced_edge_tape,packing_station,low_angle_front,cool_fluorescent
52,prompt_8cdd9d683a8e4082,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_5fbdbe5ebbf04adb.png,approved,generated,accepted_as_labeled,46-55,moderate,50,46-55,moderate,46-55,moderate,46-55,moderate,50,intended_reviewed_match,Moderate split on front top-left corner,gpt-5.4-mini,46-55-moderate-mid.md,Clear corner split with limited opening fits moderate-mid.,clear_corner_split,none,front_top_left_corner,small_cube,subtle_printed_markings,no_visible_label,single_center_tape,warehouse_floor,three_quarter_left,soft_even
53,prompt_44a6e917f5d040fb,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_d0a8ae3c7249453b.png,approved,generated,accepted_as_labeled,56-65,moderate,60,56-65,moderate,56-65,moderate,56-65,moderate,60,intended_reviewed_match,Near-Severe Corner Cavity,gpt-5.4-mini,56-65-moderate-high.md,Near-severe corner cavity stays bounded and works as moderate-high.,small_cavity_with_deformation,secondary_face_dent,front_top_right_corner,tall_rectangular,plain_brown,barcode_label_only,minimal_tape,outdoor_doorstep,three_quarter_left,backlit_but_readable
